Wed. Apr. 23, 2014             LANDSAT 5                 Time: 10:54
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L11102026            Path/Row: 183 / 033

L0R Reference Image: L51MTI1003285080100_HDF.141131544
Acquisition Date: Oct 12, 2003

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
183   033   2000-08-24


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1830330089   38.745362   22.596709   726.419       4.737     1.303     4.466     2.022
1830330090   38.218097   22.927449    49.245      -2.141     0.849    -2.249     0.501
1830330091   38.246643   23.781378   272.318      -0.090    -1.671     0.175    -1.664
1830330092   38.816780   23.264122   356.647       1.685    -1.942     1.966    -1.655
1830330093   38.164579   23.343089   549.416       0.619     1.330     0.403     1.410
1830330094   38.180320   22.906588    38.000      -0.528     2.038    -0.842     1.929
1830330095   38.791302   23.322721   349.893       2.836     1.404     2.580     1.828
1830330096   38.376393   22.999295   389.157       1.172     1.120     0.980     1.288
1830330097   38.350623   22.907271   462.779       0.743    -0.206     0.764    -0.088
1830330098   39.172859   23.522389    56.765      -1.363     3.141    -1.836     2.890
1830330099   38.796326   23.498347    57.817       3.565    -4.555     4.233    -3.943
1830330100   39.333828   23.223287   326.065       2.848    -0.033     2.816     0.409
1830330101   38.887573   22.728208    60.378      -1.838    -3.747    -1.232    -3.988
1830330102   38.340352   23.680628    39.561       3.242    -0.555     3.291    -0.039
1830330103   38.790538   23.279179   320.651       2.876     0.927     2.694     1.364
1830330104   39.382744   23.062188   860.406       5.428     4.291     4.686     5.074
1830330105   38.382022   22.384674    38.993       1.083     3.331     0.543     3.457
1830330106   39.368945   23.195847   369.915       1.786     5.784     0.863     5.986
1830330107   38.656456   24.029491   578.386      -2.365    -4.688    -1.601    -4.998
1830330109   39.162431   22.713388   166.636      -1.136    -6.720    -0.077    -6.813
1830330111   38.198539   23.579849   576.718       1.763    -3.586     2.303    -3.262
1830330112   39.775037   22.795036   591.784       0.454     5.170    -0.356     5.171
1830330113   38.418174   23.511029   269.057       1.113     0.080     1.087     0.253
1830330114   38.180139   22.884322    46.740      -0.548     2.961    -1.007     2.837
1830330115   38.909282   23.102037   262.294       0.469    -0.540     0.546    -0.461
1830330117   39.147647   23.262888   268.034      -1.418     3.086    -1.881     2.826
1830330118   38.944021   22.837576   250.507      -2.213     0.745    -2.303     0.390
1830330119   39.074570   24.121154    45.776      -1.873     3.402    -2.379     3.069
1830330120   38.916904   23.299825   660.060       1.177     2.244     0.810     2.397
1830330121   38.468376   23.437817   268.805      -0.528     1.190    -0.708     1.092
1830330122   39.194058   23.239020   316.121      -2.822     0.207    -2.820    -0.235
1830330123   38.899120   23.169882   339.889       3.624    -1.168     3.759    -0.589
1830330125   38.193736   23.476581   532.438       0.653    -0.075     0.656     0.028
1830330126   38.430124   22.922420   267.053       2.352    -0.895     2.460    -0.516
1830330127   38.549702   23.721432   119.222       3.949    -4.771     4.648    -4.094
1830330128   38.434912   22.894021   238.912       1.972    -3.629     2.514    -3.275
1830330129   38.362652   22.399413    62.336      -3.221     3.187    -3.683     2.642
1830330130   38.048297   23.744455   164.043       0.191    -1.494     0.425    -1.445
1830330131   39.130943   23.498335    42.000       2.856     0.791     2.698     1.226
1830330132   38.124575   23.203213    60.455      -2.478    -1.222    -2.255    -1.597
1830330133   39.183043   23.488719   153.829      -1.727     1.048    -1.869     0.766
1830330134   38.448519   24.105317   128.391      -3.093     3.019    -3.526     2.497
1830330136   38.076166   23.538951    85.296       0.028    -2.159     0.368    -2.128
1830330137   38.931445   24.461902    59.293      -4.365    -0.186    -4.282    -0.866
1830330138   38.228802   22.815662    60.942      -0.480    -1.482    -0.243    -1.540
1830330139   38.918866   23.226536   319.187       2.419    -1.516     2.624    -1.120
1830330140   39.089319   23.070955    49.196      -2.323    -1.061    -2.131    -1.410
1830330141   38.356874   22.954470   460.564       2.288    -1.203     2.445    -0.830
1830330142   38.055821   23.837379   347.208       0.358     2.002     0.040     2.033
